id,cltv
89393,94513.96457399937
89394,128021.25124188862
89395,91849.86905592597
89396,89976.30229555734
89397,140701.97891973046
89398,106024.46465893157
89399,49962.95170156761
89400,109157.40031090878
89401,49722.33703934021
89402,153709.9107831968
89403,149304.0979820739
89404,91537.27823347754
89405,52365.99478844868
89406,51287.37631204984
89407,55647.019416323514
89408,137097.07470438824
89409,126260.84490841471
89410,132042.6343253617
89411,123259.61595397517
89412,134526.07140145294
89413,133746.30313902925
89414,50163.08411944092
89415,49951.93669666744
89416,115194.2299583797
89417,139640.62539903395
89418,98028.45356358006
89419,50845.72646616328
89420,131601.0597618761
89421,133868.84531003225
89422,111428.36238960263
89423,145293.759378953
89424,50108.78715126465
89425,115560.27750399066
89426,131610.4521479016
89427,101350.49012666754
89428,116314.85169629597
89429,93610.56128878902
89430,55263.72114874484
89431,134787.7139087481
89432,117227.41897093036
89433,53401.904387422896
89434,51970.27580571211
89435,52447.811029249526
89436,107087.44830559303
89437,53473.1831927064
89438,139668.08275179533
89439,50277.04947785423
89440,134507.1399713957
89441,135645.69860976128
89442,64156.69098691993
89443,110125.68905688058
89444,65232.34542453332
89445,110071.49444229946
89446,95706.1746524817
89447,123037.80778616568
89448,139650.3637215915
89449,138469.27725268409
89450,130243.72172296754
89451,120562.03285752129
89452,128511.37819586629
89453,125922.17515233443
89454,139151.6988923211
89455,110987.74535974782
89456,129701.61554507836
89457,104446.20214569768
89458,138399.1677498445
89459,118037.43329802307
89460,130823.7868635161
89461,108001.40212515026
89462,97505.60274783241
89463,112062.83157140146
89464,157654.49852846723
89465,141786.11440697082
89466,51137.88809083623
89467,124025.86429526022
89468,51402.207352302146
89469,99152.54280612072
89470,48974.45285281365
89471,147457.05111231084
89472,124161.9830058585
89473,128451.20686196025
89474,131743.3217447133
89475,110582.18199268385
89476,153024.92981285357
89477,54771.849708841655
89478,136521.44597883607
89479,128358.62852119729
89480,100981.27124075819
89481,51560.163978008735
89482,51296.55629758955
89483,106179.62529405166
89484,49073.20507229927
89485,123368.44923032296
89486,130408.77053905453
89487,122471.59030965964
89488,88240.93198765373
89489,50968.338433039346
89490,90207.55909533484
89491,110370.44340614008
89492,103446.91203849869
89493,49511.94352946942
89494,51611.63768144806
89495,107254.10173229822
89496,99663.26374535495
89497,135035.27168116157
89498,105572.83433653468
89499,51908.142281731685
89500,119457.00578431372
89501,57813.56982294672
89502,50600.18909358142
89503,152756.98589054676
89504,153757.52680882567
89505,88236.18059851423
89506,50532.36133385376
89507,111232.27515798705
89508,97289.6823072036
89509,139573.25485349956
89510,51808.53245704468
89511,126713.31317235802
89512,144566.7555281729
89513,110997.96912802348
89514,137932.03497058002
89515,110407.56638997313
89516,51545.0547344676
89517,94903.39255162848
89518,53660.710089532266
89519,134367.60275153408
89520,54900.91620476146
89521,116276.01012279867
89522,52080.41643840036
89523,54501.14402119723
89524,51961.58624672573
89525,96510.62408473475
89526,55587.33483639676
89527,54758.81200010411
89528,98108.78178936063
89529,111004.50378138605
89530,130099.67079849367
89531,141138.79594442272
89532,49887.3989592397
89533,57640.3790361984
89534,99174.33872274854
89535,110421.2893414657
89536,113343.48242914007
89537,126558.31572061876
89538,139243.93316922177
89539,137698.29118737613
89540,53454.42890885616
89541,118078.01025214033
89542,91028.88787607811
89543,53282.31470289364
89544,110548.0143478495
89545,50607.42582082107
89546,155469.0616212351
89547,98133.51682117737
89548,126000.58107194316
89549,99679.87576193859
89550,55056.142556436615
89551,110627.96103748666
89552,90688.10326937951
89553,124186.55477562259
89554,56592.558040065465
89555,51164.76114322615
89556,101152.93178326568
89557,112781.3082034807
89558,146726.46329099673
89559,114420.45794551731
89560,50971.29375948553
89561,125573.41659038916
89562,133472.27906361676
89563,98852.99167690847
89564,139757.22369939016
89565,94178.24836959782
89566,126556.030025621
89567,96193.29469149261
89568,128540.09966655733
89569,97896.41003075102
89570,131693.65187370713
89571,115555.62885206714
89572,54345.739758760355
89573,50922.54271365812
89574,49648.12398993821
89575,154316.32872178894
89576,126760.61880496182
89577,49720.51422248161
89578,91502.51588614869
89579,136390.15261178813
89580,128037.94777527935
89581,126437.11026731342
89582,48632.776617641946
89583,107749.04683159762
89584,97989.83327438145
89585,51338.101862500764
89586,51650.77372267399
89587,51902.31101057233
89588,47923.10252134398
89589,50293.3883073423
89590,124049.29034627113
89591,153438.25278439952
89592,107351.29131056457
89593,139380.18687349398
89594,98028.62759066728
89595,116185.55708159991
89596,97106.64302533619
89597,53123.26092091859
89598,111885.27277667832
89599,115395.54370552732
89600,107777.86468987116
89601,127279.65248844832
89602,141483.4631920398
89603,116276.01012279867
89604,143878.17666165726
89605,108817.00939112087
89606,139172.01532726816
89607,107881.84920624639
89608,127552.05666139246
89609,113301.45801320969
89610,96636.16976838332
89611,100257.35738653704
89612,154060.37321066903
89613,116925.7888550437
89614,53116.39565862059
89615,100666.79021404704
89616,141802.27764572218
89617,49342.940354990096
89618,91700.33243136633
89619,50266.485882215464
89620,90971.8275515586
89621,150870.29027880786
89622,110877.4278439536
89623,119450.63063433376
89624,142770.42558374195
89625,53535.869563508924
89626,109313.72419800464
89627,50051.90624493518
89628,54425.2206677696
89629,142873.61097622206
89630,113201.65177194387
89631,125920.3210187056
89632,50070.60667602597
89633,110147.19723186459
89634,117590.29996071412
89635,120394.78942550984
89636,128093.69384954337
89637,49709.21868761403
89638,97106.64302533619
89639,112187.53915768402
89640,120118.71066719374
89641,54653.67692620964
89642,48954.72413981156
89643,90102.45125960882
89644,130565.34115590656
89645,126217.79183090963
89646,140150.96836086077
89647,50226.148257255474
89648,46529.58600935704
89649,106931.8882725678
89650,109653.66613525034
89651,87506.17529605588
89652,103973.69998815896
89653,108057.16465182432
89654,112932.25993556407
89655,143177.46907213883
89656,109059.29108768277
89657,48616.80656462349
89658,133213.48621590046
89659,129253.9477745975
89660,120937.54752880587
